Cwestiwn,opsiwn a,opsiwn b,opsiwn c,opsiwn d,ateb cywir,adborth
Defnyddiwyd y cyfrifiadur geiriau cyntaf yn 1613 i ddisgrifio ...?,peiriant sy'n perfformio gweithrediadau,cyfrifiannell,person a berfformiodd weithrediadau,Dim un o'r uchod,person a berfformiodd weithrediadau,y gair cyfrifiadur a gyfeiriwyd yn flaenorol i berson a berfformiodd weithrediadau
"Ym mha flwyddyn y dechreuodd Charles Babbage ddatblygu ei ""Beiriant Gwahaniaeth""?",1789,1822,1840,1952,1822,"Dechreuodd Charles Babbage ddatblygu ei ""Beiriant Gwahaniaeth"" ym 1822 gyda chymorth Ada Lovelace. Gallai hyn gyfrifo setiau o rifau a 'argraffu'r' canlyniadau"
Creodd y person hwn beiriant o'r enw Y Peiriant Dadansoddol. Ei syniadau oedd rhai o'r cyntaf a arweiniodd at greu cyfrifiaduron.,Simon Konrad,Charles Babbage,Ada Lovelace,William Howard,Charles Babbage,Cynigiodd Charles Babbage greu cyfrifiadur mecanyddol cyntaf 'Y Peiriant Dadansoddol'
"Gelwir y person hwn yn aml yn ddyfeisiwr y cyfrifiadur modern. Mewn gwirionedd, creodd y cyfrifiadur electronig llawn.",Konrad Zuse,Byron Lovelace,William Gates,Steve Jobs,Konrad Zuse,Dechreuodd Konrad Zuse weithio ar y cyfrifiadur electro-fecanyddol gyntaf yn 1936. Mae'n darllen cyfarwyddiadau o ffilm 35mm.
"Roedd y ddyfais hon 1,000 gwaith yn gyflymach nag unrhyw beiriant a adeiladwyd o'i flaen. Roedd mor fawr y gallai llenwi t?.",Apple I,ENIAC,Windows,Z3,ENIAC,ENIAC
Dechreuodd y person hwn ddatblygu'r Peiriant Turing,Tommy Flowers,Steve Jobs,Alan Turing,Konrad Zuse,Alan Turing,"Dechreuodd Alan Turing ddatblygu'r peiriant Turing yn 1936, sef y sylfaen ar gyfer syniadau am gyfrifiaduron."
Pwy ddatblygodd beiriant chwilio Google?,Larry Page a Sergey Brin,Sergey Brin a Steve Jobs,Mark Zuckerberg,Bill Gates,Larry Page a Sergey Brin,Dechreuodd Google fel prosiect ymchwil gan Larry Page a Sergey Brin ym 1996.
Beth oedd enw'r fersiwn Android gyntaf?,Eclair,Froyo,Jelly Bean,Apple Pie,Apple Pie,Gelwir y fersiwn gyntaf o Android Apple Pie ac fe'i rhyddhawyd yn 2008
Adeiladodd Steve Jobs a Steve Wozniak eu cyfrifiadur cyntaf gan ddefnyddio bocs pren. Mae eu cwmni wedi tyfu ac mae'n dal o gwmpas heddiw. Enw'r cwmni yw:,Microsoft,Linux,Apple,Ffenestri,Apple,Apple
"Mae'n hysbys am y dyn hwn am gychwyn y cwmni Microsoft yn ôl yn y flwyddyn 1975. Ers hynny, daeth yn un o'r bobl gyfoethocaf yn y byd. Ei enw yw:",Steve Jobs,Bill Gates,Konrad Zuse,Charles Babbage,Bill Gates,Bill Gates oedd sylfaenydd Microsoft yn 1975
Pa un yw'r mwyaf?,Terabyte,Gigabyte,Megabyte,Kilobyte,Terabyte,Terabyte yw'r mwyaf. Mae'n gyfwerth â 1 triliwn bytes neu 1000 gigabytes.
Pa ddyfais yw y ddau mewn dyfais mewnbwn ac allbwn?,argraffydd,bysellfwrdd,monitro,disg,disg,Disg am ei fod yn gallu darllen ac ysgrifennu gwybodaeth
Pa un o'r canlynol yw trefn gywir cylch prosesu cyfrifiadur?,"mewnbwn, cof, prosesu, allbwn","allbwn, mewnbwn, cof, prosesu","prosesu, mewnbwn, cof, allbwn","cof, mewnbwn, allbwn, prosesu","mewnbwn, cof, prosesu, allbwn","Y drefn gywir yw mewnbwn, cof, prosesu ac allbwn"
Pa un o'r canlynol sy'n wir am ROM (Cof Darllen yn Unig)?,Cof dros dro yw hwn,Gallwch chi wneud newidiadau iddo,Ni allwch wneud newidiadau iddo,Pob un o'r uchod,Ni allwch wneud newidiadau iddo,Ni allwch wneud newidiadau i ROM oherwydd ei fod yn ddarllen-yn-unig
Uned rifeddeg / rhesymeg y cyfrifiadur:,yn gallu cymharu niferoedd,Gall ychwanegu rhifau,yn rhan o'r uned brosesu ganolog,Pob un o'r uchod,Pob un o'r uchod,"Gall uned rhesymeg y cyfrifiadur gymharu niferoedd, perfformio pob gweithrediad rhifydd (ychwanegu, tynnu, lluosi, rhannu) ac mae'n rhan o'r uned brosesu ganolog"
Pa nad yw'n iaith raglennu?,Ruby,Perl,Gem,Esmerald,Gem,Nid iaith raglennu yw Gem
I gadw golwg ar y symiau mawr o wybodaeth a ddefnyddiwch:,taenlen,graffeg,prosesydd geiriau,cronfa ddata,cronfa ddata,Cronfa ddata
RAM (Cof Hygyrchedd Hap) yw _____ y ??cyfrifiadur?,cof parhaol,cof dros dro,cof rheoli,uned rhifegeg / rhesymeg,cof dros dro,RAM yw cof dros dro y cyfrifiadur
